#ID;country;language;name;postcode;full address;tel;lon;lat;entry lon;entry lat;fax;e-mail;URL;state;city;subcity;street;hno;facility
1;SGP;ENG;Woodlands Toyota Service Centre;739145;6 Marsilling Lane;65102838;103.949783;1.369041;;;;;;;;;;;
2;SGP;ENG;UBI Toyota Showroom&Service Centre;408611;17 Ubi Road 4;67416888;103.900288;1.332881;;;;;;;;;;;
3;SGP;ENG;West Coast Toyota New Vehicle Dellvery Centre;126978;62 West Coast Ferry Road;68727278;103.761679;1.292053;;;;;;;;;;;
4;SGP;ENG;Bukit Batok Toyota Service Centre;659545;511 Bukit Batok St 23;66658200;103.755845;1.341761;;;;;;;;;;;
5;SGP;ENG;Pandan Toyota Service and Car Bodycare Centre;128462;2 pandan Crescent;68727395/68727700;103.760665;1.302462;;;;;;;;;;;
6;SGP;ENG;Leng Kee Headquarters Toyota&Lexus Showrooms&Service Centre;159102;33 Leng Kee Road;64751288;103.810353;1.290873;;;;;;;;;;;
7;SGP;ENG;Leng Kee Toyota Car Bodycare Centre;159096;24 Leng Kee Road;64766268;103.812297;1.290977;;;;;;;;;;;
8;SGP;ENG;Sin Ming Toyota Service Centre&New Vehicle Delivery Centre;575733;600 Sin Ming Avenue;64586868/65545441;103.840893;1.360106;;;;;;;;;;;
9;SGP;ENG;Pandan Central Parts Depot;609388;21 Pandan Avenue #07-01;62677028;103.748732;1.301053;;;;;;;;;;;
10;SGP;ENG;Tampines Toyota Service Centre;529731;9 Tampines Avenue 2;65883033;103.9477542;1.349042;;;;;;;;;;;
1;IDN;IND;AUTO 2000 Pluit;;Jl. Raya Pluit Selatan No. 6, Jakarta 14450;(021)6622000 (Hunting);106.793082;-6.124586;;;(021) 6603526;;;;;;;;
2;IDN;IND;AUTO 2000 Yos Sudarso;;Jl. Laks. Yos Sudarso Kav. 46-48, Sunter II, Jakarta 14330;(021) 65302000 (Hunting);106.889997;-6.1416;;;(021) 65836965;;;;;;;;
3;IDN;IND;AUTO 2000 Muara Karang;;Jl. Muara Karang Raya Blok Set V Timur No. 17-18, Jakarta 14450;(021) 6682000 (Hunting);106.796998;-6.125578;;;(021)6623783;;;;;;;;
4;IDN;IND;AUTO 2000 Juanda;;Jl. Ir.H. Juanda  22 ,  Jakarta 10120;(021) 2312000 (Hunting);106.826149;-6.166838;;;(021) 3849283;;;;;;;;
5;IDN;IND;AUTO 2000 Garuda;;Jl. Garuda 84 , Jakarta 10620;(021) 4252000 (Hunting);106.847989;-6.161286;;;(021) 4206575;;;;;;;;
6;IDN;IND;AUTO 2000 Pramuka;;Jl. Raya Pramuka No.146 Kav. 29-30, Jakarta 13120;(021) 8582000 (Hunting);106.859261;-6.191819;;;(021) 8516622;;;;;;;;
7;IDN;IND;AUTO 2000 Salemba;;Jl. Salemba Raya No. 67, Jakarta 10440;(021)3152000 (Hunting);106.852997;-6.198051;;;(021) 3908117,3162638;;;;;;;;
8;IDN;IND;AUTO 2000 Cempaka Putih;;Jl. Letjen. Suprapto No. 63, Jakarta 10520;(021) 4262000 (Hunting);106.855443;-6.174849;;;(021) 4265234;;;;;;;;
9;IDN;IND;AUTO 2000 Sudirman;;Jl. Jen. Sudirman No. 5 , Jakarta 10220;(021) 5703325 (Hunting);106.820992;-6.207253;;;(021) 5737027,5703327;;;;;;;;
10;IDN;IND;AUTO 2000 GSO & PK;;Jl. Wahid Hasyim No. 164, Jakarta 10250;(021) 2302000 (Hunting);106.820475;-6.186769;;;(021) 2303027;;;;;;;;
11;IDN;IND;AUTO 2000 Wahid Hasyim;;Jl. Wahid Hasyim No. 164, Jakarta 10250;(021) 3912000 (Hunting);106.820427;-6.186726;;;(021) 3916235,2303027;;;;;;;;
12;IDN;IND;AUTO 2000 Ambassador;;Mall Ambassador, Jl. Prof. Dr. Satrio Kav. 8-9, Kuningan, Jakarta 12940;(021) 5762000 (Hunting);106.826977;-6.223777;;;(021) 5760040;;;;;;;;
13;IDN;IND;AUTO 2000 Samanhudi;;Jl. Samanhudi No. 7, Jakarta 10710;(021) 3802000 (Hunting);106.833243;-6.160553;;;(021) 3814158;;;;;;;;
14;IDN;IND;AUTO 2000 Kramat Jati;;Jl. Raya Bogor KM.21 Kramat Jati, Jakarta 13830;(021) 8402000 (Hunting);106.871006;-6.298279;;;(021) 8400680,8400618;;;;;;;;
15;IDN;IND;AUTO 2000 Kalimalang;;Jl. Raya Tarum Barat No. 45 Kalimalang, Jakarta 13450;(021) 8652000 (Hunting);106.919996;-6.247451;;;(021 ) 8642446;;;;;;;;
16;IDN;IND;AUTO 2000 P. Jayakarta;;Jl. P. Jayakarta 9-11, Jakarta 11110;(021) 6262000 (Hunting), 6007293;106.818;-6.139072;;;(021) 6494260;;;;;;;;
17;IDN;IND;AUTO 2000 Daan Mogot;;Jl. Daan Mogot 146-147, Jakarta 11510;(021) 5642000(Hunting), 5682110;106.817997;-6.139083;;;(021) 5688719;;;;;;;;
18;IDN;IND;AUTO 2000 Puri Kembangan;;Jl. Lingkar Luar Barat - Puri Kembangan, Jakarta 11500;(021) 5822000 (Hunting),5822850;106.729777;-6.181444;;;(021) 5822849,5822848;;;;;;;;
19;IDN;IND;AUTO 2000 Kapuk;;Jl. Lingkar Luar Barat - Kapuk Kamal, Cengkareng, Jakarta;(021)55962000 (Hunting);106.731008;-6.124719;;;(021)55962999;;;;;;;;
20;IDN;IND;AUTO  2000 Slipi;;Jl. Letjen S. Parman Kav. N/4 Slipi, Jakarta Barat 11480;(021) 5632000 (Hunting) 5348111;106.796853;-6.191841;;;(021) 53676959;;;;;;;;
21;IDN;IND;AUTO 2000 Mangga Dua;;Jl. Arteri Mangga Dua Blok F 5 Ruko Bahan Bangunan No. 1-3, Jakarta 10730;(021) 6122000 (Hunting) 6013900;106.828284;-6.1364;;;(021) 6015435;;;;;;;;
22;IDN;IND;AUTO 2000 Glodok Plaza;;Komp. Pertokoan Glodok Plaza Blok H 25 - 26 , Jakarta 11120;(021) 6282000 (Hunting);106.815967;-6.143174;;;(021) 6264495;;;;;;;;
23;IDN;IND;AUTO 2000 Cilandak;;Jl. TB. Simatupang, Cilandak , Lebak Bulus, Jakarta 12430;(021) 7652000 (Hunting), 7501025;106.813786;-6.291233;;;(021) 7505308;;;;;;;;
24;IDN;IND;AUTO 2000 Radio Dalam;;Jl. Radio Dalam No. 124 A-B, Jakarta 12140;(021) 7252000 (Hunting);106.793527;-6.26351;;;(021) 7398887;;;;;;;;
25;IDN;IND;AUTO 2000 Cileduk;;Jl. Ciledug Raya No.16, Petukangan Selatan, Jakarta 12270;(021) 7372000 (Hunting), 7352000 (Body & Paint);106.747576;-6.240218;;;(021) 7373007;;;;;;;;
26;IDN;IND;AUTO 2000 Tebet Supomo;;Jl. Prof.Dr.Supomo SH No. 46, Jakarta 12870;(021) 8302000 (Hunting);106.844691;-6.238605;;;(021) 8300432;;;;;;;;
27;IDN;IND;AUTO 2000 Tebet Saharjo;;Jl. Dr. Saharjo No. 246 A,  Jakarta 12960;(021) 83792000 (Hunting) 83705870;106.846804;-6.228571;;;(021) 83705875;;;;;;;;
28;IDN;IND;AUTO 2000 Bintaro Jaya;;Jl. M.H. Thamrin Blok B2/2, Sektor VII, Pusat Kawasan Niaga Bintaro Jaya 15224;(021) 7452000 (Hunting), 7454229;106.723999;-6.276966;;;(021) 7454240;;;;;;;;
29;IDN;IND;AUTO 2000 Bumi Serpong Damai;;BSD Komersial VII C No. 2,  Serpong Tangerang 15321;(021) 5382000 (Hunting);106.665988;-6.29095;;;(021) 5379755;;;;;;;;
30;IDN;IND;AUTO 2000 Cikarang;;Jl. M.H Thamrin Kav. 168, Lippo Cikarang;(021) 89902000 (Hunting) 89900542;107.140005;-6.332795;;;(021) 89903757;;;;;;;;
31;IDN;IND;AUTO 2000 Bekasi - Timur;;Jl. Diponegoro 38, Bekasi Timur 17510;(021) 8802000 (Hunting);107.033993;-6.253411;;;(021) 88349065;;;;;;;;
32;IDN;IND;AUTO 2000 Bekasi - Barat;;Jl. Siliwangi RT. 003/RW 009, Sepanjang Raya, Rawa Lumbu, Bekasi;(021) 82422000;106.993494;-6.273068;;;;;;;;;;;
33;IDN;IND;Astrido Toyota Yos Sudarso;;Jl. Yos Sudarso 19, Tanjung Priok, Jakarta 14230;(021) 4303210,  43930025, 43937450-51 (Hunting);106.893418;-6.117641;;;(021) 43938660;;;;;;;;
34;IDN;IND;Astrido Toyota Bandengan;;Jl. Bandengan Utara 41-A, Jakarta Utara 14440;(021) 6696850, 6600031 (Hunting);106.79688;-6.136675;;;(021) 6600212;;;;;;;;
35;IDN;IND;Astrido Toyota Kelapa Gading;;Jl. Boulevard Raya Barat Blok LC-7 N0 43-45, Kelapa Gading, Jakarta 14330;(021) 4515655 (Hunting);106.900526;-6.157107;;;(021) 4501251;;;;;;;;
36;IDN;IND;Astrido Toyota Kelapa Gading II;;Jl. Bukit Gading Mediterania No. 1, Kelapa Gading - Jakarata Utara 14240;(021) 4515651/45861041 - 47 (Hunting);106.893995;-6.160766;;;(021) 45861051;;;;;;;;
37;IDN;IND;Astrido Toyota Batu Tulis;;Jl. Batu Tulis Raya 50 C.D. E.F, Jakarta Pusat 10120;(021) 3853285 (Hunting) 3855360-65;106.8244;-6.163094;;;(021) 3841306;;;;;;;;
38;IDN;IND;Astrido Toyota Balikpapan;;Jl. Balikpapan Raya No. 7, Jakarta 10160;(021) 3863228 (Hunting);106.813762;-6.170476;;;(021) 3519833;;;;;;;;
39;IDN;IND;Astrido Toyota Klender;;Jl. Pahlawan Revolusi No.9, Klender, Jakarta 13470;(021) 8610322 (Hunting);106.899169;-6.22427;;;(021) 8610320;;;;;;;;
40;IDN;IND;Astrido Toyota Kebon Jeruk;;Jl. Raya Perjuangan 33A, JKedoya - Kebon Jeruk - Jakarta Barat 11530;(021) 5302722 (Hunting), 5491563, 5301501;106.763379;-6.195656;;;(021) 5302718;;;;;;;;
41;IDN;IND;Astrido Toyota Fatmawati;;Jl. R.S. Fatmawati  1, Jakarta 12420;(021) 7505297 (Hunting);106.79691;-6.268963;;;(021) 7505296;;;;;;;;
42;IDN;IND;Astrido Toyota Pondok Indah;;Jl. Sultan Iskandar Muda No. 1 A, P.Indah, Jakarta 12140;(021) 7269969;106.782088;-6.260289;;;(021) 7397086;;;;;;;;
43;IDN;IND;Astrido Toyota Daan Mogot;;Jl.Daan Mogot km 22,5,  Tanah Tinggi, Tangerang 15119;(021) 5526690 (Hunting), 5526695;106.647698;-6.166633;;;(021) 5530381;;;;;;;;
44;IDN;IND;Astrido Toyota Bekasi;;Jl. Jend. Sudirman No 10, Bekasi  17143;(021) 8893760 (Hunting), 8855678;107.03494;-6.253611;;;(021)8854004;;;;;;;;
45;IDN;IND;Astrido Toyota Pondok Gede;;Jl. Inkopau I,  Pondok Gede, Bekasi, 17414;(021) 84994669 , 8480536 (Hunting);106.921109;-6.29324;;;(021) 8480541;;;;;;;;
46;IDN;IND;Tunas Toyota Pecenongan;;Jl. Pecenongan 60-62, Jakarta 10123;(021) 2313777 (Hunting);106.819639;-6.160318;;;(021) 2313001;;;;;;;;
47;IDN;IND;Tunas Toyota Hayam Wuruk;;Jl. Hayam Wuruk  No. 52, Jakarta;(021) 6280450 (Hunting);106.818995;-6.158401;;;(021) 6296179;;;;;;;;
48;IDN;IND;Tunas Toyota Dewi Sartika;;Jl. Dewi Sartika No. 145, Cawang,  Jakarta 13360;(021) 8093969;106.865851;-6.249515;;;(021) 8097675;;;;;;;;
