#id;level;org_code;org_name;parent_id;imp
1;1;1;Healthcare;0;9999
2;1;2;Sports;0;9999
3;1;3;Transport;0;9999
4;1;4;Tourism;0;9999
5;1;5;Label Features;0;9999
6;1;6;Shopping;0;9999
7;1;7;Leisure;0;9999
8;1;8;Business;0;9999
9;1;9;Automotive;0;9999
10;1;10;Government & Public Services;0;9999
11;1;11;Lodging/Living Accommodation;0;9999
12;1;12;Eating & Drinking;0;9999
13;2;9375;Veterinarian;1;9
14;2;9374;Dentist;1;9999
15;2;9663;Health Care Service;1;9999
16;2;7326;Pharmacy;1;9999
17;2;9373;Doctor;1;9999
18;2;7321;Hospital/Polyclinic;1;9999
19;2;7374;Stadium;2;9999
20;2;9360;Ice Skating Rink;2;9999
21;2;7338;Swimming Pool;2;9999
22;2;9371;Water Sport;2;9999
23;2;9911;Golf Course;2;9999
24;2;9369;Tennis Court;2;9999
25;2;7320;Sports Center;2;9
26;2;7352;Ferry Terminal;3;9999
27;2;7380;Railway Station;3;9
28;2;7383;Airport;3;9
29;2;7389;Access Gateway;3;9999
30;2;7366;Frontier Crossing;3;9999
31;2;7308;Helipad/Helicopter Landing;3;9999
32;2;9935;Mountain Pass;3;9999
33;2;9942;Public Transport Stop;3;9999
34;2;9159;Port/Warehouse Facility;3;9999
35;2;7337;Scenic/Panoramic View;4;9999
36;2;7316;Tourist Information Office;4;9999
37;2;7339;Place of Worship;4;9999
38;2;7305;Adventure Sports Venue;4;9999
39;2;9357;Beach;4;9999
40;2;7376;Important Tourist Attraction;4;9
41;2;8099;Geographic Feature;5;9999
42;2;9361;Shop;6;9999
43;2;7332;Market;6;9999
44;2;7373;Shopping Center;6;9
45;2;7327;Department Store;6;9999
46;2;9379;Nightlife;7;9999
47;2;7347;Marina;7;9999
48;2;9902;Amusement Park;7;9999
49;2;9937;Club & Association;7;9999
50;2;9378;Leisure Center;7;9999
51;2;7318;Theater;7;9
52;2;7342;Cinema;7;9
53;2;9900;Entertainment;7;9999
54;2;9362;Park and Recreation Area;7;9999
55;2;7341;Casino;7;9999
56;2;7319;Cultural Center;7;9999
57;2;9927;Zoo, Arboreta & Botanical Garden;7;9
58;2;7302;Trail System;7;9999
59;2;7317;Museum;7;9999
60;2;7363;Community Center;7;9999
61;2;7349;Winery;7;9999
62;2;9383;Industrial Building;8;9999
63;2;7378;Business Park;8;9999
64;2;9352;Company;8;9999
65;2;7391;Emergency Medical Service;8;9999
66;2;9377;Exhibition & Convention Center;8;9
67;2;9158;Media Facility;8;9999
68;2;9156;Manufacturing Facility;8;9999
69;2;7388;Courier Drop Box;8;9999
70;2;9160;Exchange;8;9999
71;2;7328;Bank;8;9
72;2;9382;Commercial Building;8;9999
73;2;7397;Cash Dispenser;8;9999
